Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result
S001,6,85,72,80,75,Pass
S002,2,55,40,50,45,Fail
S003,5,78,65,70,68,Pass
S004,1,40,35,30,38,Fail
S005,7,90,88,92,85,Pass
S006,3,60,50,55,52,Fail
S007,4,72,60,65,62,Pass
S008,6,88,80,85,78,Pass
S009,2,48,42,38,44,Fail
S010,5,75,70,72,68,Pass
S011,8,95,92,95,90,Pass
S012,1,35,30,28,32,Fail
S013,4,68,58,62,60,Pass
S014,3,52,45,48,46,Fail
S015,6,82,75,80,76,Pass
S016,7,88,84,88,82,Pass
S017,2,50,38,42,40,Fail
S018,5,76,68,72,70,Pass
S019,1,42,32,35,34,Fail
S020,4,70,62,65,63,Pass
S021,6,84,78,82,76,Pass
S022,3,58,48,52,50,Fail
S023,7,91,86,90,84,Pass
S024,2,46,36,40,38,Fail
S025,5,79,72,75,71,Pass
S026,8,93,90,94,88,Pass
S027,1,38,28,30,30,Fail
S028,4,66,56,60,58,Pass
S029,3,55,46,50,48,Fail
S030,6,86,80,84,78,Pass
S031,7,89,85,89,83,Pass
S032,2,52,40,44,42,Fail
S033,5,77,69,73,69,Pass
S034,1,44,33,36,35,Fail
S035,4,71,63,66,64,Pass
S036,6,83,76,81,75,Pass
S037,3,57,47,51,49,Fail
S038,7,92,87,91,85,Pass
S039,2,47,37,41,39,Fail
S040,5,80,73,76,72,Pass
S041,8,94,91,95,89,Pass
S042,1,36,29,31,31,Fail
S043,4,67,57,61,59,Pass
S044,3,56,46,50,48,Fail
S045,6,85,79,83,77,Pass
S046,7,90,86,90,84,Pass
S047,2,51,39,43,41,Fail
S048,5,78,70,74,70,Pass
S049,1,43,31,34,33,Fail
S050,4,69,61,64,62,Pass
S051,6,87,77,82,76,Pass
S052,3,59,49,53,51,Fail
S053,7,92,88,91,86,Pass
S054,2,49,38,42,40,Fail
S055,5,81,74,77,73,Pass
S056,8,96,93,96,91,Pass
S057,1,37,27,29,29,Fail
S058,4,65,55,59,57,Pass
S059,3,54,44,48,46,Fail
S060,6,84,77,82,76,Pass
